CEARES,PORTUGUES
COM O RABO ENTRE AS PERNAS,Desconfiado;sem jeito
COM QUANTOS PAUS SE FAZ UNA JANGADA,desafio;hostilidade;valentia
COMÍ QUE FIQUEI TRISTE,Comer;empanzinado;Empapuçado
COCOROTE,Pancada;cabeça
COROCA,caduca
COROCA,velha
CORRALINDA,linda;bonita
CORRER FROUXO,abundância
COURO DE PICA,Expressão;não resolve
CRIADO A PÃO-DE-LÓ,irônica;mimados
CRUZETA,Cabide
CU DE CANA,Cachaceiro
CU DOCE,difícil;besta;pedante
CUMELÃO,Garanhão
CURRIOLA,Turma;Grupo
CURUBA,Coceira;pele
CURUBAU,Canelau
CURUBENTO,curuba;coçando
CURURU,sapo;Desafio
CUSTAR,Demorar
DA MOLESTA,bom;matuto
DANAÇÃO,Travessura;diabrura;estripulía;raiva;confusão;balbúrdia;trapalhada
DANADA,inquieta
DAR BODE,Confusão;encrenca
DAR CABIMENTO,liberdade;intimidade
DAR O GRAU,Caprichar
DAR O MAIOR 10,Gostar;valor
DAR O PINOTE,Irritar-se;responder
DAR O PREGO (NO INFINITIVO),Quebrar;desmantelar;pifar
DAS TRIPAS CORAÇÃO,Empenhar-se;máximo
DE LUA,fase;instável
DE MUTUCA,ligado;conversa;mosquito
DE PRIMEIRO,Antigamente
DE VERA,verdade
DEDADA,cutucar;bunda
DERRUBADO(A),feias;más condições
DERRUBAR,Deixar cair
DESARNAR,esperto
DESCABAÇAR,Desvirginar
DESCABRIADO,Desanimado
DESCATITAR,Quebrar;arrebentar
DESENXAVIDO (A),Sem graça
DESMILINGÜIDO,Sem graça;Desarrumado;Desajeitado
DESUNERAR,Liquefazer-se
DIABÉISSO?,debochada;espanto
DIABO-A-QUATRO,tudo;faz;pode
DIN-DIN,Picolé;caseiro
DISCO VOADOR,Ovo frito
DO TEMPO DO BUMBA,velha
DOIDIM,Doidinho;amalucada
DOIDO PRA MATAR O VERME,Tirar;atraso
DOMARIA,Dona Maria
DONA MARIA,senhora;desconhecida
DOR DE VIADO,Dor;baço
DORMIR COM O COURO QUENTE,ameaça;castigar
EGUAR,Vagabundear
EM RIBA,Em cima;alto
EMBANANADO,Atrapalhado;confuso
EMBIOCAR,Meter-se;escondido
EMBOLÉU,Briga;confronto;discussão
EMBUANÇA,Encrenca;briga
